report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,lev_money_positions_long,lev_money_positions_short,asset_mgr_positions_long,asset_mgr_positions_short,dealer_positions_long_all,dealer_positions_short_all,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
2006-09-19T00:00:00.000,096742,BRITISH POUND,104255,60045,15544,6395,2847,10645,70212,945,82,25222,14567
2006-09-19T00:00:00.000,097741,JAPANESE YEN,225098,22390,124015,34971,6848,114980,39433,8480,3503,29592,36614
2006-09-19T00:00:00.000,098662,USD INDEX,17288,6123,6953,0,410,4021,2385,1041,2011,2558,1984
2006-09-19T00:00:00.000,099741,EURO FX,131398,46743,13340,18995,9551,9961,69297,5270,2179,45551,32153
2006-09-19T00:00:00.000,112741,NZ DOLLAR,17608,13039,1585,1912,0,534,14336,225,557,1690,922
2006-09-19T00:00:00.000,232741,AUSTRALIAN DOLLAR,61952,39661,5395,434,1826,851,44856,507,1836,19992,7532
2006-09-26T00:00:00.000,090741,CANADIAN DOLLAR,94128,40321,29414,4419,8788,16015,31020,2618,2584,29441,21008
2006-09-26T00:00:00.000,092741,SWISS FRANC,69977,12871,38991,450,466,46628,9938,450,970,9130,19164
2006-09-26T00:00:00.000,096742,BRITISH POUND,122122,74768,18425,6071,3007,9311,83475,975,1153,30273,15338
2006-09-26T00:00:00.000,097741,JAPANESE YEN,221240,19677,129528,34172,6168,114308,32185,9860,2246,27690,35580
2006-09-26T00:00:00.000,098662,USD INDEX,19545,8404,9400,62,420,5349,2014,642,2188,1881,2316
2006-09-26T00:00:00.000,099741,EURO FX,136955,43390,11950,19876,7662,11706,80847,6927,1082,49154,29512
2006-09-26T00:00:00.000,112741,NZ DOLLAR,17727,12830,2335,1588,0,541,13608,202,555,2314,977
2006-09-26T00:00:00.000,232741,AUSTRALIAN DOLLAR,57337,35614,3493,421,1826,916,41180,497,1718,19363,8594
2006-10-03T00:00:00.000,090741,CANADIAN DOLLAR,100141,47602,32312,4364,8770,14341,35462,3088,2247,28894,19498
2006-10-03T00:00:00.000,092741,SWISS FRANC,72687,10822,39733,450,483,50317,10640,450,987,9956,20152
2006-10-03T00:00:00.000,096742,BRITISH POUND,104665,62733,17731,5538,2969,9280,65721,939,1105,24789,15753
2006-10-03T00:00:00.000,097741,JAPANESE YEN,243819,23534,148110,34034,6241,131049,34167,9003,3697,30650,36055
2006-10-03T00:00:00.000,098662,USD INDEX,24522,12511,8114,0,420,5191,7755,851,2264,2342,2342
2006-10-03T00:00:00.000,099741,EURO FX,142202,50567,13037,19735,6666,10652,81980,7071,1993,46148,30497
2006-10-03T00:00:00.000,112741,NZ DOLLAR,13426,8421,0,1628,0,677,10996,243,728,1992,1237
2006-10-03T00:00:00.000,232741,AUSTRALIAN DOLLAR,56292,36950,9317,0,2321,918,34362,0,500,17609,8977
2006-10-10T00:00:00.000,090741,CANADIAN DOLLAR,91193,34974,29017,4161,8849,17138,28026,3749,2737,28752,20145
2006-10-10T00:00:00.000,092741,SWISS FRANC,95979,9569,67706,447,509,74981,3032,447,986,9149,22360
2006-10-10T00:00:00.000,096742,BRITISH POUND,101848,46255,21658,5225,2992,19602,56627,924,0,27158,17887
2006-10-10T00:00:00.000,097741,JAPANESE YEN,267803,27820,170434,34554,6933,147171,32983,8695,2342,33926,39474
2006-10-10T00:00:00.000,098662,USD INDEX,30911,17229,9684,0,406,5533,12695,1470,2452,3240,2235
2006-10-10T00:00:00.000,099741,EURO FX,150795,41815,28722,20812,5942,18688,65752,8334,2529,51464,38168
2006-10-10T00:00:00.000,112741,NZ DOLLAR,15750,11479,1235,1201,0,1016,12405,163,1110,1702,811
2006-10-10T00:00:00.000,232741,AUSTRALIAN DOLLAR,65437,44942,8553,0,2412,917,41219,0,2270,18433,9838
2006-10-17T00:00:00.000,090741,CANADIAN DOLLAR,110173,28972,47270,3726,11240,41128,21689,4615,2245,28564,24561
2006-10-17T00:00:00.000,092741,SWISS FRANC,105046,11600,76295,450,543,82790,1346,911,1423,7364,23508
2006-10-17T00:00:00.000,096742,BRITISH POUND,108510,54550,23269,6843,2989,18914,61035,997,0,25220,19231
2006-10-17T00:00:00.000,097741,JAPANESE YEN,261575,24854,161279,35283,6975,142480,36929,9098,3638,34092,36986
2006-10-17T00:00:00.000,098662,USD INDEX,36745,23743,13369,0,474,5242,15777,1421,2323,3399,1862
2006-10-17T00:00:00.000,099741,EURO FX,154610,41452,34619,22357,4884,26200,63574,6949,2211,49391,41061
2006-10-17T00:00:00.000,112741,NZ DOLLAR,19759,14898,1746,1261,0,1029,15645,151,876,2181,1253
2006-10-17T00:00:00.000,232741,AUSTRALIAN DOLLAR,74025,49709,10242,0,2524,1250,51534,687,0,20807,8153
2006-10-24T00:00:00.000,090741,CANADIAN DOLLAR,100203,25976,33526,3740,12375,35606,26881,3314,2256,28879,22477
2006-10-24T00:00:00.000,092741,SWISS FRANC,107816,8233,76953,450,576,87563,2010,450,1395,8531,24293
2006-10-24T00:00:00.000,096742,BRITISH POUND,101676,53329,17568,7935,2076,12793,63119,1558,0,23603,16455
2006-10-24T00:00:00.000,097741,JAPANESE YEN,282998,30624,181030,36183,6852,156032,38602,7951,3229,35694,36771
2006-10-24T00:00:00.000,098662,USD INDEX,33789,20772,9777,0,171,4839,16545,1460,2177,3652,2053
2006-10-24T00:00:00.000,099741,EURO FX,158034,41209,37360,23359,5381,31091,63290,7867,2237,46089,41347
2006-10-24T00:00:00.000,112741,NZ DOLLAR,21403,15887,2731,1407,0,1296,16088,370,892,2129,1378
2006-10-24T00:00:00.000,232741,AUSTRALIAN DOLLAR,87502,61217,7573,0,2576,858,66533,775,0,23258,9426
2006-10-31T00:00:00.000,090741,CANADIAN DOLLAR,104350,23824,35937,4406,10623,39482,29956,3778,2376,29081,21679
2006-10-31T00:00:00.000,092741,SWISS FRANC,89968,6793,56803,450,572,70105,8394,450,2269,10146,19906
2006-10-31T00:00:00.000,096742,BRITISH POUND,126678,76770,16981,7775,2105,10073,84960,982,184,29025,20395
2006-10-31T00:00:00.000,097741,JAPANESE YEN,226607,26850,108521,34394,5840,100087,61322,8772,1666,38380,31134
2006-10-31T00:00:00.000,098662,USD INDEX,32961,19380,10119,0,171,6849,14467,404,1715,2832,2993
2006-10-31T00:00:00.000,099741,EURO FX,162230,55998,14863,23176,4978,13380,94586,6527,2885,49545,31314
2006-10-31T00:00:00.000,112741,NZ DOLLAR,18440,12559,1645,2057,0,1296,14691,118,645,2071,1120
2006-10-31T00:00:00.000,232741,AUSTRALIAN DOLLAR,107657,76703,9572,0,2495,1322,82021,1729,1832,26642,10476
2006-11-07T00:00:00.000,090741,CANADIAN DOLLAR,103426,23392,33229,4442,10796,39194,31703,3222,2442,28836,20916
2006-11-07T00:00:00.000,092741,SWISS FRANC,103184,10273,67233,450,563,76791,10327,450,1652,11625,19814
2006-11-07T00:00:00.000,096742,BRITISH POUND,152030,100097,17884,7124,2085,10243,110408,1419,1108,31288,18686
2006-11-07T00:00:00.000,097741,JAPANESE YEN,229063,30597,109225,35126,5864,92714,57972,8802,1601,37244,29821
2006-11-07T00:00:00.000,098662,USD INDEX,34478,19637,11288,0,181,8096,14084,348,1809,2391,3110
2006-11-07T00:00:00.000,099741,EURO FX,178237,68434,13554,21878,4223,15728,114291,5447,4616,53018,27821
2006-11-07T00:00:00.000,112741,NZ DOLLAR,18916,13405,1676,2100,0,889,15003,0,911,2183,987
2006-11-07T00:00:00.000,232741,AUSTRALIAN DOLLAR,123491,90093,9942,561,1826,1413,99326,2457,2576,28645,9499
2006-11-14T00:00:00.000,090741,CANADIAN DOLLAR,129537,27456,58486,4549,10614,54174,27673,4618,3497,31907,22434
2006-11-14T00:00:00.000,092741,SWISS FRANC,87935,4597,52433,450,563,65246,13786,450,1581,13588,15968
2006-11-14T00:00:00.000,096742,BRITISH POUND,136600,82668,14329,6918,2539,9858,101100,2549,74,32413,16364
2006-11-14T00:00:00.000,097741,JAPANESE YEN,233573,30093,106764,34043,5948,93099,61520,9682,2016,38991,29660
