observation_date,USAPIEAMP01GPM
2013-09-01,-0.1541623868
2013-10-01,-0.3088008188
2013-11-01,-0.5162622693
2013-12-01,0.2594706839
2014-01-01,0.5175983422
2014-02-01,0.5149330572
2014-03-01,0.5122950900
2014-04-01,0.6625891861
2014-05-01,-0.1518987272
2014-06-01,0.0000000000
2014-07-01,0.1014198799
2014-08-01,0.0000000000
2014-09-01,-0.3039513725
2014-10-01,-1.0162601597
2014-11-01,-1.0780287547
2014-12-01,-1.8681888855
2015-01-01,-2.1681649965
2015-02-01,0.2162162196
2015-03-01,0.4314994574
2015-04-01,-0.2685284682
2015-05-01,1.3462574056
2015-06-01,0.3719447455
2015-07-01,-0.2117522532
2015-08-01,-0.7957559708
2015-09-01,-1.4438502602
2015-10-01,-0.3255561635
2015-11-01,-0.4354926478
2015-12-01,-1.1481683957
2016-01-01,-0.6084070891
2016-02-01,-0.5564830257
2016-03-01,0.3357582593
2016-04-01,0.6692693810
2016-05-01,0.7756232705
2016-06-01,0.9345794334
2016-07-01,-0.1089324636
2016-08-01,-0.4907306410
2016-09-01,0.2739726070
2016-10-01,0.3825136570
2016-11-01,-0.2721829112
2016-12-01,0.3820960759
2017-01-01,0.9244154375
2017-02-01,0.3232758671
2017-03-01,0.2685284682
2017-04-01,0.4820567732
2017-05-01,-0.1599147147
2017-06-01,0.1601708514
2017-07-01,-0.1599147147
2017-08-01,0.5872931119
2017-09-01,0.6369426753
2017-10-01,0.3164557012
2017-11-01,0.5257623539
2017-12-01,0.0523012560
2018-01-01,0.6795609000
2018-02-01,0.4672897173
2018-03-01,0.2583979273
2018-04-01,0.6701030937
2018-05-01,1.2288786485
2018-06-01,0.3540718315
2018-07-01,0.0504032266
2018-08-01,0.0503778252
2018-09-01,0.1510574042
2018-10-01,0.7541478155
2018-11-01,-0.9980039891
2018-12-01,-1.6129032323
2019-01-01,-0.4610655715
2019-02-01,0.5661348423
2019-03-01,1.0235414600
2019-04-01,0.9118540988
2019-05-01,-0.0502008040
2019-06-01,-1.0547463565
2019-07-01,0.2538071011
2019-08-01,-0.5569620247
2019-09-01,-0.2545824793
2019-10-01,0.3573251620
2019-11-01,-0.0508647007
2019-12-01,-0.0508905860
2020-01-01,0.1018329955
2020-02-01,-0.7629705010
2020-03-01,-1.4351614497
2020-04-01,-3.2241289673
2020-05-01,1.5045674405
2020-06-01,0.6881948130
2020-07-01,1.1041009441
2020-08-01,0.3640145566
2020-09-01,-0.0518134723
2020-10-01,0.4147226607
2020-11-01,0.4130098059
2020-12-01,1.1311053971
2021-01-01,1.4743263896
2021-02-01,1.7535070135
2021-03-01,2.3633677995
2021-04-01,1.0582010569
2021-05-01,2.3798191356
2021-06-01,1.3017201246
