,USD,JPY,CAD,AUD,GBP,EUR,CHF,NZD
1995-12-01 00:00:00+00:00,76.87345,71.70074,74.6,74.00114,76.3374,,,74.97839
1996-01-01 00:00:00+00:00,76.82001,71.74477,74.3,74.49115,76.3374,,,74.97839
1996-02-01 00:00:00+00:00,76.67706,71.72879,74.5,74.17548,76.3374,,,74.97839
1996-03-01 00:00:00+00:00,76.70606,71.7912,74.5,74.34105,76.23438,,,75.08608
1996-04-01 00:00:00+00:00,76.7693,71.77459,74.6,74.1963,76.23438,,,75.08608
1996-05-01 00:00:00+00:00,76.90429,71.86403,74.5,73.97054,76.23438,,,75.08608
1996-06-01 00:00:00+00:00,76.87076,71.94714,74.4,74.24232,76.29824,,,75.50851
1996-07-01 00:00:00+00:00,77.06183,71.94474,74.3,74.10618,76.29824,,,75.50851
1996-08-01 00:00:00+00:00,76.95173,72.14104,74.8,73.90556,76.29824,,,75.50851
1996-09-01 00:00:00+00:00,77.25721,72.28658,74.7,74.09092,76.20153,,,76.03063
1996-10-01 00:00:00+00:00,77.06522,72.22298,74.6,74.1467,76.20153,,,76.03063
1996-11-01 00:00:00+00:00,77.23617,72.26143,74.6,73.81013,76.20153,,,76.03063
1996-12-01 00:00:00+00:00,77.36674,72.20823,74.6,74.0061,76.3751,,,75.0489
1997-01-01 00:00:00+00:00,77.34408,72.19595,74.6,73.66988,76.3751,,,75.0489
1997-02-01 00:00:00+00:00,77.2599,72.3287,74.6,73.99954,76.3751,,,75.0489
