add_set,extras,clock,h4_share,max_k,recycle_cap,vt,n_legs,mean_mo,pct_pos,top3,gates,p2t,score
none,[],oos_sharpe,,4.0,1.5,0.0025,5,0.008612448961096213,0.7272727272727273,0.759144384149891,True,0.08334476865392954,0.08046964552412823
none,[],oos_sharpe,,4.0,1.5,,5,0.004582859114242923,0.7272727272727273,0.6873270181337341,True,0.046847406132307236,0.04770606605536687
none,[],oos_sharpe,,4.0,2.0,0.0025,5,0.009528729899123041,0.6363636363636364,0.7792327256155657,True,0.07363024888510286,0.08147109889512053
none,[],oos_sharpe,,4.0,2.0,,5,0.006741508874800214,0.8181818181818182,0.692923435370259,True,0.051839363065799136,0.07339030482747233
none,[],h4=0.55,0.55,,1.0,0.0025,5,0.004690184042623295,0.45454545454545453,0.7600319213459876,True,0.06754901609697375,-0.38141276035589833
none,[],h4=0.55,0.55,,1.0,,5,0.00196654930739306,0.5454545454545454,0.7286791534353451,True,0.029377315291504964,0.009371160799102994
none,[],h4=0.55,0.55,,1.5,0.0025,5,0.009654946222965477,0.7272727272727273,0.6700507228281224,True,0.07893380926162327,0.09980904076704135
none,[],h4=0.55,0.55,,1.5,,5,0.004604648504784431,0.7272727272727273,0.6241304811569298,True,0.03929306904909138,0.05297968291892629
none,[],h4=0.55,0.55,,2.0,0.0025,5,0.011738925538978272,0.7272727272727273,0.7054971557560752,True,0.06988611942324088,0.11781311929293307
none,[],h4=0.55,0.55,,2.0,,5,0.006241203392643214,0.7272727272727273,0.6425275869644637,True,0.041618819781323695,0.0678734633329114
none,[],h4=0.55,0.55,2.0,1.0,0.0025,5,0.007536022935862429,0.6363636363636364,0.6713013915960092,True,0.06495842268772141,0.07397429984912537
none,[],h4=0.55,0.55,2.0,1.0,,5,0.0028603853929256673,0.6363636363636364,0.6750409476779182,True,0.023577517490597177,0.026918759933205028
none,[],h4=0.55,0.55,2.0,1.5,0.0025,5,0.00892997138974167,0.6363636363636364,0.7318543665931799,True,0.07415973638995856,0.08306954638814412
none,[],h4=0.55,0.55,2.0,1.5,,5,0.004278692808311734,0.6363636363636364,0.6757320184459227,True,0.03522123343141764,0.04104654842562534
none,[],h4=0.55,0.55,2.0,2.0,0.0025,5,0.010842373991658842,0.7272727272727273,0.7476915305737408,True,0.06791130510923549,0.10483040947346156
none,[],h4=0.55,0.55,2.0,2.0,,5,0.005718641341226027,0.6363636363636364,0.6889968203971013,True,0.0389575454460031,0.05438484959867398
none,[],h4=0.55,0.55,3.0,1.0,0.0025,5,0.007542022232373052,0.7272727272727273,0.6504999056762587,True,0.0628983342522261,0.0802438662332662
none,[],h4=0.55,0.55,3.0,1.0,,5,0.0029772797513344484,0.7272727272727273,0.6329556713578535,True,0.025676506663512302,0.03599998016835257
none,[],h4=0.55,0.55,3.0,1.5,0.0025,5,0.00982603098196757,0.7272727272727273,0.6670434893245116,True,0.07335246763100912,0.10176046703735113
none,[],h4=0.55,0.55,3.0,1.5,,5,0.004588960241159573,0.7272727272727273,0.6196331443426862,True,0.035459936133223034,0.0531825872278172
none,[],h4=0.55,0.55,3.0,2.0,0.0025,5,0.011787691901006965,0.7272727272727273,0.711539068373126,True,0.06358342930084473,0.11781742990385594
none,[],h4=0.55,0.55,3.0,2.0,,5,0.006225335483400601,0.7272727272727273,0.6486769098799272,True,0.03779496639847083,0.0672228384072482
none,[],h4=0.55,0.55,4.0,1.0,0.0025,5,0.007248693773150052,0.7272727272727273,0.6550684187452082,True,0.07760566176108832,0.07694510059552023
none,[],h4=0.55,0.55,4.0,1.0,,5,0.0029464491266433853,0.7272727272727273,0.6388464127906399,True,0.03040386047089667,0.035220414606819024
none,[],h4=0.55,0.55,4.0,1.5,0.0025,5,0.009764993593749584,0.7272727272727273,0.6701453452688513,True,0.08132582579941305,0.1009019446796241
none,[],h4=0.55,0.55,4.0,1.5,,5,0.00462292692439584,0.7272727272727273,0.6241304811569227,True,0.03937057183146396,0.05316246711504095
none,[],h4=0.55,0.55,4.0,2.0,0.0025,5,0.011756564027581436,0.7272727272727273,0.7052864166714525,True,0.06999870801354992,0.11800636330573451
none,[],h4=0.55,0.55,4.0,2.0,,5,0.00625947770581386,0.7272727272727273,0.6425275869644577,True,0.04169613493919719,0.06805620646461834
none,[],h4=0.70,0.7,,1.0,0.0025,5,0.004098645354764946,0.5454545454545454,0.7486183471542813,True,0.07489112005244354,0.028362659756388943
none,[],h4=0.70,0.7,,1.0,,5,0.0017197937170798346,0.7272727272727273,0.6789633252641288,True,0.0355854280508257,0.0197445075133044
none,[],h4=0.70,0.7,,1.5,0.0025,5,0.00830932898991405,0.6363636363636364,0.7721840225642503,True,0.08057906278072692,0.07054585635226739
none,[],h4=0.70,0.7,,1.5,,5,0.0045491478190829385,0.8181818181818182,0.6978612703699321,True,0.0480219126218699,0.051071667470325724
none,[],h4=0.70,0.7,,2.0,0.0025,5,0.00925084634522446,0.6363636363636364,0.784170385772277,True,0.07407263043411115,0.07780348452792667
none,[],h4=0.70,0.7,,2.0,,5,0.006690190474647251,0.8181818181818182,0.7037450745451131,True,0.05367138090546759,0.07201138969195436
none,[],h4=0.70,0.7,2.0,1.0,0.0025,5,0.00667862035202354,0.6363636363636364,0.7427241936274682,True,0.07424275651457095,0.059541539181983065
none,[],h4=0.70,0.7,2.0,1.0,,5,0.0028229616374740763,0.6363636363636364,0.705524132517023,True,0.028088076389641434,0.024105867591560737
none,[],h4=0.70,0.7,2.0,1.5,0.0025,5,0.007378680826215844,0.5454545454545454,0.768501317577139,True,0.07639241739809652,0.05758407979478354
