,USD,EUR,GBP,JPY,CAD,CHF,AUD,NZD
2003-04-01 00:00:00+00:00,4.2424242383,1.0901882973,,-1.288404360753248,2.8720626616,-0.0038471091,3.0585106382978955,-1.1237201422081622
2003-05-01 00:00:00+00:00,4.442771084,0.8893280693,,-1.288404360753248,1.8158236035,0.0176542931,3.0585106382978955,-1.1237201422081622
2003-06-01 00:00:00+00:00,1.8684603902,0.394477324,,-1.4880952380952328,-0.2587322032,0.102616758,0.26385224274403374,-2.643772618983997
2003-07-01 00:00:00+00:00,1.7228464412,0.0986193224,,-1.5888778550149363,-1.8229166645,-0.1922350465,0.26385224274403374,-2.643772618983997
2003-08-01 00:00:00+00:00,2.0209580878,0.0987166761,,-1.7910447761194215,-2.3498694437,-0.0747294098,0.26385224274403374,-2.643772618983997
2003-09-01 00:00:00+00:00,2.0958083883,0.0,,-1.3972055888223256,-1.4322916719,-0.0529148118,-0.13210039630118242,-1.8249129299040878
2003-10-01 00:00:00+00:00,2.4682124129,-0.0986193224,,-1.199999999999879,-1.6795865596,0.0788352664,-0.13210039630118242,-1.8249129299040878
2003-11-01 00:00:00+00:00,1.5555555524,-0.0985221605,,-1.2012012012011741,-2.4358974297,0.0550977776,-0.13210039630118242,-1.8249129299040878
2003-12-01 00:00:00+00:00,1.9174041187,-0.1968503798,,-1.4028056112225018,-3.9641943739,0.1709169417,-1.0457516339869133,-1.128274644300864
2004-01-01 00:00:00+00:00,2.3031203652,0.0987166761,,-1.4028056112225018,-3.9794608475,0.502184173,-1.0457516339869133,-1.128274644300864
2004-02-01 00:00:00+00:00,2.7611940315,-0.0986193224,,-1.3052208835341639,-3.4749034811,0.5055537297,-1.0457516339869133,-1.128274644300864
2004-03-01 00:00:00+00:00,2.3581429582,-0.3933136627,,-1.104417670682778,-3.201024319,0.4265289245,-1.1612903225806326,-0.5368498360467822
2004-04-01 00:00:00+00:00,1.2354651221,-0.5882352868,,-0.903614457831281,-1.903553299,0.3200982187,-1.1612903225806326,-0.5368498360467822
2004-05-01 00:00:00+00:00,1.1535688583,-0.1958863834,,-0.7028112449798951,-0.8917197441,0.585037215,-1.1612903225806326,-0.5368498360467822
2004-06-01 00:00:00+00:00,4.0352164294,0.5893909552,,-0.20140986908366854,2.2049286544,0.9669423249,2.7631578947368896,2.724252940918692
2004-07-01 00:00:00+00:00,5.5228276926,1.1822660065,,0.0,6.6312997285,1.4439698401,2.7631578947368896,2.724252940918692
2004-08-01 00:00:00+00:00,4.8422597153,1.1834319492,,0.607902735562349,6.9518716545,1.416243384,2.7631578947368896,2.724252940918692
2004-09-01 00:00:00+00:00,4.9853372398,1.678183609,,0.7085020242913798,5.4161162528,1.3076923837,6.084656084656115,4.136430941741431
2004-10-01 00:00:00+00:00,4.890510958,1.8756169727,,0.7085020242913798,5.3876478359,1.334873737,6.084656084656115,4.136430941741431
2004-11-01 00:00:00+00:00,5.1787016777,1.9723865858,,0.9118541033434235,4.8620236508,1.3345973176,6.084656084656115,4.136430941741431
2004-12-01 00:00:00+00:00,6.0057887124,2.4654832323,,1.3211382113821335,5.5925432816,1.5516589372,8.190224570673731,4.7590294969707125
2005-01-01 00:00:00+00:00,6.100217866,2.268244576,,1.1178861788617267,4.0106951858,1.581694938,8.190224570673731,4.7590294969707125
2005-02-01 00:00:00+00:00,5.3013798132,2.3692003878,,1.0172939979655071,3.8666666765,1.443396152,8.190224570673731,4.7590294969707125
2005-03-01 00:00:00+00:00,5.2555795556,2.5666337515,,0.4060913705584479,3.9682539669,1.2278738706,6.005221932114901,6.027418137258178
2005-04-01 00:00:00+00:00,5.5276381839,2.671651205,,0.20263424518740525,2.9754204399,1.6672588031,6.005221932114901,6.027418137258178
2005-05-01 00:00:00+00:00,6.1297220141,2.3730212545,,0.30333670374118604,2.8277634944,1.3922676489,6.005221932114901,6.027418137258178
2005-06-01 00:00:00+00:00,5.5007052265,1.8731529872,,0.807265388496492,1.903553299,1.2696516401,6.914212548015386,4.833419872341027
2005-07-01 00:00:00+00:00,4.2568039098,1.372010061,,0.807265388496492,-0.2487562103,0.7766744425,6.914212548015386,4.833419872341027
2005-08-01 00:00:00+00:00,4.6885934307,1.7764481712,,0.5035246727089548,0.0,0.820522411,6.914212548015386,4.833419872341027
2005-09-01 00:00:00+00:00,5.446927382,1.3811998223,,0.7035175879397837,0.0,1.0241882338,6.2344139650872155,6.563172216902169
2005-10-01 00:00:00+00:00,5.6367432127,1.387296651,,0.8040201005025338,-0.1246882808,1.070157593,6.2344139650872155,6.563172216902169
2005-11-01 00:00:00+00:00,6.934812766,1.595550092,,0.8032128514056547,1.1278195509,1.5777711227,6.2344139650872155,6.563172216902169
2005-12-01 00:00:00+00:00,6.8941979592,1.3078470837,,1.1033099297893978,1.8915510713,1.385315731,4.884004884004867,5.091295522639383
2006-01-01 00:00:00+00:00,4.5174537931,1.3016381804,,1.3065326633167063,3.0848329063,1.2394407761,4.884004884004867,5.091295522639383
2006-02-01 00:00:00+00:00,5.3793103392,1.3016381804,,1.6112789526686155,2.6957637964,1.4213034155,4.884004884004867,5.091295522639383
2006-03-01 00:00:00+00:00,5.4035567671,1.2072434628,,2.1233569261879914,2.5445292573,1.6806419883,7.8817733990147465,5.003892905151819
2006-04-01 00:00:00+00:00,4.4217687136,1.3052208848,,2.3255813953488635,0.7537688535,1.5923523599,7.8817733990147465,5.003892905151819
