Date,OIL_ME_VS_NON
2008-08-28 00:00:00+00:00,-165.9
2008-08-29 00:00:00+00:00,-1.9699999999999989
2008-08-30 00:00:00+00:00,-18.729999999999997
2008-08-31 00:00:00+00:00,-10.150000000000006
2008-09-01 00:00:00+00:00,-65.2
2008-09-02 00:00:00+00:00,-103.0
2008-09-03 00:00:00+00:00,-87.51
2008-09-04 00:00:00+00:00,-87.6
2008-09-05 00:00:00+00:00,-61.79
2008-09-06 00:00:00+00:00,-58.65
2008-09-07 00:00:00+00:00,-76.79
2008-09-08 00:00:00+00:00,29.979999999999997
2008-09-09 00:00:00+00:00,-75.7
2008-09-10 00:00:00+00:00,-123.4
2008-09-11 00:00:00+00:00,-80.76
2008-09-12 00:00:00+00:00,-35.839999999999996
2008-09-13 00:00:00+00:00,14.409999999999997
2008-09-14 00:00:00+00:00,90.28
2008-09-15 00:00:00+00:00,-81.61
2008-09-16 00:00:00+00:00,-65.14
2008-09-17 00:00:00+00:00,-102.9
2008-09-18 00:00:00+00:00,-84.49
2008-09-19 00:00:00+00:00,-16.440000000000005
2008-09-20 00:00:00+00:00,-47.95
2008-09-21 00:00:00+00:00,-100.65
2008-09-22 00:00:00+00:00,35.339999999999996
2008-09-23 00:00:00+00:00,59.52
2008-09-24 00:00:00+00:00,-72.31
2008-09-25 00:00:00+00:00,-7.929999999999993
2008-09-26 00:00:00+00:00,-8.559999999999995
2008-09-27 00:00:00+00:00,-65.38
2008-09-28 00:00:00+00:00,23.299999999999997
2008-09-29 00:00:00+00:00,35.870000000000005
2008-09-30 00:00:00+00:00,15.470000000000013
2008-10-01 00:00:00+00:00,-92.89
2008-10-02 00:00:00+00:00,-64.64
2008-10-03 00:00:00+00:00,-1.75
2008-10-04 00:00:00+00:00,91.32
2008-10-05 00:00:00+00:00,34.519999999999996
2008-10-06 00:00:00+00:00,-20.340000000000003
2008-10-07 00:00:00+00:00,-79.57
2008-10-08 00:00:00+00:00,-64.27
2008-10-09 00:00:00+00:00,-67.72
2008-10-10 00:00:00+00:00,-50.17
2008-10-11 00:00:00+00:00,-32.040000000000006
2008-10-12 00:00:00+00:00,-61.25
2008-10-13 00:00:00+00:00,-53.42
2008-10-14 00:00:00+00:00,103.92
2008-10-15 00:00:00+00:00,-65.08
2008-10-16 00:00:00+00:00,-66.28
2008-10-17 00:00:00+00:00,12.170000000000002
2008-10-18 00:00:00+00:00,47.45
2008-10-19 00:00:00+00:00,-94.8
2008-10-20 00:00:00+00:00,-16.269999999999996
2008-10-21 00:00:00+00:00,69.73
2008-10-22 00:00:00+00:00,-69.4
2008-10-23 00:00:00+00:00,-99.5
2008-10-24 00:00:00+00:00,-19.069999999999997
2008-10-25 00:00:00+00:00,-58.27
2008-10-26 00:00:00+00:00,-69.07
2008-10-27 00:00:00+00:00,-17.79
2008-10-28 00:00:00+00:00,-25.169999999999995
2008-10-29 00:00:00+00:00,11.510000000000005
2008-10-30 00:00:00+00:00,14.070000000000007
2008-10-31 00:00:00+00:00,-45.33
2008-11-01 00:00:00+00:00,12.300000000000004
2008-11-02 00:00:00+00:00,-64.97
2008-11-03 00:00:00+00:00,-53.5
2008-11-04 00:00:00+00:00,-63.82
2008-11-05 00:00:00+00:00,100.31000000000002
2008-11-06 00:00:00+00:00,-21.729999999999997
2008-11-07 00:00:00+00:00,-27.200000000000003
2008-11-08 00:00:00+00:00,-29.659999999999997
2008-11-09 00:00:00+00:00,-71.35
2008-11-10 00:00:00+00:00,-26.490000000000002
2008-11-11 00:00:00+00:00,-90.81
2008-11-12 00:00:00+00:00,94.97999999999999
2008-11-13 00:00:00+00:00,-93.54
2008-11-14 00:00:00+00:00,-59.38
2008-11-15 00:00:00+00:00,-22.980000000000004
2008-11-16 00:00:00+00:00,157.19
2008-11-17 00:00:00+00:00,-56.75
2008-11-18 00:00:00+00:00,-9.64
2008-11-19 00:00:00+00:00,87.91000000000001
2008-11-20 00:00:00+00:00,85.95
2008-11-21 00:00:00+00:00,99.62
2008-11-22 00:00:00+00:00,-72.27
2008-11-23 00:00:00+00:00,83.97999999999999
2008-11-24 00:00:00+00:00,-0.8299999999999983
2008-11-25 00:00:00+00:00,-61.46
2008-11-26 00:00:00+00:00,-50.699999999999996
2008-11-27 00:00:00+00:00,32.68000000000001
2008-11-28 00:00:00+00:00,-43.87
2008-11-29 00:00:00+00:00,-62.339999999999996
2008-11-30 00:00:00+00:00,-193.73
2008-12-01 00:00:00+00:00,-27.769999999999996
2008-12-02 00:00:00+00:00,-137.89
2008-12-03 00:00:00+00:00,24.27000000000001
2008-12-04 00:00:00+00:00,-27.58999999999999
2008-12-05 00:00:00+00:00,-31.119999999999997
2008-12-06 00:00:00+00:00,-33.97
2008-12-07 00:00:00+00:00,-29.340000000000003
2008-12-08 00:00:00+00:00,55.72
